"DateTime";"Количество"
2022-03-15 00:00:00;926
2022-03-16 00:00:00;869
2022-03-17 00:00:00;867
2022-03-18 00:00:00;984
2022-03-19 00:00:00;667
2022-03-20 00:00:00;479
2022-03-21 00:00:00;837
2022-03-22 00:00:00;864
2022-03-23 00:00:00;805
2022-03-24 00:00:00;816
2022-03-25 00:00:00;784
2022-03-26 00:00:00;645
2022-03-27 00:00:00;345
2022-03-28 00:00:00;1420
2022-03-29 00:00:00;685
2022-03-30 00:00:00;700
2022-03-31 00:00:00;867
2022-04-01 00:00:00;717
2022-04-02 00:00:00;1021
2022-04-03 00:00:00;378
2022-04-04 00:00:00;706
2022-04-05 00:00:00;723
2022-04-06 00:00:00;947
2022-04-07 00:00:00;750
2022-04-08 00:00:00;849
2022-04-09 00:00:00;682
2022-04-10 00:00:00;385
2022-04-11 00:00:00;556
2022-04-12 00:00:00;810
2022-04-13 00:00:00;723
2022-04-14 00:00:00;924
2022-04-15 00:00:00;1035
2022-04-16 00:00:00;579
2022-04-17 00:00:00;388
2022-04-18 00:00:00;683
2022-04-19 00:00:00;812
2022-04-20 00:00:00;974
2022-04-21 00:00:00;866
2022-04-22 00:00:00;831
2022-04-23 00:00:00;592
2022-04-24 00:00:00;311
2022-04-25 00:00:00;703
2022-04-26 00:00:00;994
2022-04-27 00:00:00;989
2022-04-28 00:00:00;1047
2022-04-29 00:00:00;1034
2022-04-30 00:00:00;628
2022-05-01 00:00:00;282
2022-05-02 00:00:00;208
2022-05-03 00:00:00;284
2022-05-04 00:00:00;520
2022-05-05 00:00:00;607
2022-05-06 00:00:00;645
2022-05-07 00:00:00;522
2022-05-08 00:00:00;241
2022-05-09 00:00:00;174
2022-05-10 00:00:00;268
2022-05-11 00:00:00;661
2022-05-12 00:00:00;945
2022-05-13 00:00:00;996
2022-05-14 00:00:00;612
2022-05-15 00:00:00;332
2022-05-16 00:00:00;853
2022-05-17 00:00:00;1068
2022-05-18 00:00:00;914
2022-05-19 00:00:00;889
2022-05-20 00:00:00;1179
2022-05-21 00:00:00;706
2022-05-22 00:00:00;385
2022-05-23 00:00:00;757
2022-05-24 00:00:00;811
2022-05-25 00:00:00;1001
2022-05-26 00:00:00;1024
2022-05-27 00:00:00;1147
2022-05-28 00:00:00;572
2022-05-29 00:00:00;400
2022-05-30 00:00:00;797
2022-05-31 00:00:00;1064
2022-06-01 00:00:00;982
2022-06-02 00:00:00;1034
2022-06-03 00:00:00;1027
2022-06-04 00:00:00;602
2022-06-05 00:00:00;405
2022-06-06 00:00:00;698
2022-06-07 00:00:00;918
2022-06-08 00:00:00;1059
2022-06-09 00:00:00;1238
2022-06-10 00:00:00;1208
2022-06-11 00:00:00;479
2022-06-12 00:00:00;287
2022-06-13 00:00:00;361
2022-06-14 00:00:00;844
2022-06-15 00:00:00;858
2022-06-16 00:00:00;947
2022-06-17 00:00:00;1019
2022-06-18 00:00:00;510
2022-06-19 00:00:00;295
2022-06-20 00:00:00;670
2022-06-21 00:00:00;902
2022-06-22 00:00:00;858
2022-06-23 00:00:00;1003
2022-06-24 00:00:00;1033
2022-06-25 00:00:00;585
2022-06-26 00:00:00;393
2022-06-27 00:00:00;851
2022-06-28 00:00:00;1067
2022-06-29 00:00:00;970
2022-06-30 00:00:00;1034
2022-07-01 00:00:00;929
2022-07-02 00:00:00;497
2022-07-03 00:00:00;334
2022-07-04 00:00:00;791
2022-07-05 00:00:00;965
2022-07-06 00:00:00;921
2022-07-07 00:00:00;1024
2022-07-08 00:00:00;885
2022-07-09 00:00:00;355
2022-07-10 00:00:00;400
2022-07-11 00:00:00;711
2022-07-12 00:00:00;686
2022-07-13 00:00:00;868
2022-07-14 00:00:00;859
2022-07-15 00:00:00;804
2022-07-16 00:00:00;437
2022-07-17 00:00:00;304
